1,Country:name,AFG,Afghanistan
2,Country:alpha-2,AFG,AF
3,Country:alpha-3,AFG,AFG
4,Country:country-code,AFG,004
5,Country:iso_3166-2,AFG,ISO 3166-2:AF
6,Country:region,AFG,Asia
7,Country:sub-region,AFG,Southern Asia
8,Country:region-code,AFG,142
9,Country:sub-region-code,AFG,034
10,Country:name,ALA,Åland Islands
11,Country:alpha-2,ALA,AX
12,Country:alpha-3,ALA,ALA
13,Country:country-code,ALA,248
14,Country:iso_3166-2,ALA,ISO 3166-2:AX
15,Country:region,ALA,Europe
16,Country:sub-region,ALA,Northern Europe
17,Country:region-code,ALA,150
18,Country:sub-region-code,ALA,154
19,Country:name,ALB,Albania
20,Country:alpha-2,ALB,AL
21,Country:alpha-3,ALB,ALB
22,Country:country-code,ALB,008
23,Country:iso_3166-2,ALB,ISO 3166-2:AL
24,Country:region,ALB,Europe
25,Country:sub-region,ALB,Southern Europe
26,Country:region-code,ALB,150
27,Country:sub-region-code,ALB,039
28,Country:name,DZA,Algeria
29,Country:alpha-2,DZA,DZ
30,Country:alpha-3,DZA,DZA
31,Country:country-code,DZA,012
32,Country:iso_3166-2,DZA,ISO 3166-2:DZ
33,Country:region,DZA,Africa
34,Country:sub-region,DZA,Northern Africa
35,Country:region-code,DZA,002
36,Country:sub-region-code,DZA,015
37,Country:name,ASM,American Samoa
38,Country:alpha-2,ASM,AS
39,Country:alpha-3,ASM,ASM
40,Country:country-code,ASM,016
41,Country:iso_3166-2,ASM,ISO 3166-2:AS
42,Country:region,ASM,Oceania
43,Country:sub-region,ASM,Polynesia
44,Country:region-code,ASM,009
45,Country:sub-region-code,ASM,061
46,Country:name,AND,Andorra
47,Country:alpha-2,AND,AD
48,Country:alpha-3,AND,AND
49,Country:country-code,AND,020
50,Country:iso_3166-2,AND,ISO 3166-2:AD
51,Country:region,AND,Europe
52,Country:sub-region,AND,Southern Europe
53,Country:region-code,AND,150
54,Country:sub-region-code,AND,039
55,Country:name,AGO,Angola
56,Country:alpha-2,AGO,AO
57,Country:alpha-3,AGO,AGO
58,Country:country-code,AGO,024
59,Country:iso_3166-2,AGO,ISO 3166-2:AO
60,Country:region,AGO,Africa
61,Country:sub-region,AGO,Sub-Saharan Africa
62,Country:intermediate-region,AGO,Middle Africa
63,Country:region-code,AGO,002
64,Country:sub-region-code,AGO,202
65,Country:intermediate-region-code,AGO,017
66,Country:name,AIA,Anguilla
67,Country:alpha-2,AIA,AI
68,Country:alpha-3,AIA,AIA
69,Country:country-code,AIA,660
70,Country:iso_3166-2,AIA,ISO 3166-2:AI
71,Country:region,AIA,Americas
72,Country:sub-region,AIA,Latin America and the Caribbean
73,Country:intermediate-region,AIA,Caribbean
74,Country:region-code,AIA,019
75,Country:sub-region-code,AIA,419
76,Country:intermediate-region-code,AIA,029
77,Country:name,ATA,Antarctica
78,Country:alpha-2,ATA,AQ
79,Country:alpha-3,ATA,ATA
80,Country:country-code,ATA,010
81,Country:iso_3166-2,ATA,ISO 3166-2:AQ
82,Country:name,ATG,Antigua and Barbuda
83,Country:alpha-2,ATG,AG
84,Country:alpha-3,ATG,ATG
85,Country:country-code,ATG,028
86,Country:iso_3166-2,ATG,ISO 3166-2:AG
87,Country:region,ATG,Americas
